Year,MPO_H,MPO_NH,Hopewell_H,Hopewell_NH,Petersburg_H,Petersburg_NH,ColonialHeights_H,ColonialHeights_NH,Chesterfield_H,Chesterfield_NH,Dinwiddie_H,Dinwiddie_NH,PrinceGeorge_H,PrinceGeorge_NH
2010,420,29.1,439.9,73.5,275.1,13.8,312,55.7,598.4,27,467.2,32.8,542.3,16.7
2011,419.7,30.5,437.4,75.3,275.2,14.3,310.3,57,598.1,27.8,469.8,33.6,542,17.3
2012,418.8,31.7,434.9,76.9,274.8,14.8,310.6,58,597,28.3,471.8,34.3,542.7,18.1
2013,416.4,32.4,432.1,78,274.3,15.4,310.3,59.2,595.8,29.2,474,35.1,542.8,18.7
2014,414.9,33.3,429.2,79.3,274.5,16,308.7,60.3,595.4,29.9,476.8,36,543.3,19.4
2015,412.9,34,426.9,80.9,274.2,16.6,306.7,61.6,594.4,30.9,478.1,37,543.2,20
2016,411.2,34.9,424.3,82.8,273.4,17.3,305.1,63,593.7,32.2,478.7,38.1,542.9,20.6
2017,409.3,35.9,421.5,84.9,272.9,17.9,303.7,64.9,593.5,33.5,480.2,38.7,542.2,21.3
2018,408.3,37.1,419.6,87.4,272.8,18.6,302.7,67.1,593.6,34.6,482.6,39.4,542.6,22.2
