TravelTimeCode,SegmentLength,DIRAADT,LOTTRAMP,LOTTRMIDD,LOTTRPMP,TTTRAMP,TTTRMIDD,TTTRPMP,TTTRWE,TTTROVN,PHED,geometry,year
110+16165,0.022,11278,1.47,1.8,1.65,,,,,,,"LINESTRING (-77.38071939999998 37.202766600000075, -77.38085799999999 37.202788000000055, -77.38129299999997 37.20285300000006, -77.38167699999997 37.202919800000075, -77.38175299999995 37.20293300000003, -77.38179599999995 37.20294000000007, -77.38264879999997 37.203095000000076, -77.38431499999996 37.20338300000003, -77.38442999999995 37.203404000000035, -77.38467999999995 37.20345700000007, -77.38492399999996 37.20352800000006, -77.38516399999997 37.20360800000003, -77.38539999999995 37.203696000000036, -77.38549799999998 37.203696000000036, -77.38557099999997 37.20372900000007, -77.38577199999997 37.20382700000005, -77.38598199999996 37.20393900000005, -77.38607399999995 37.20399700000007, -77.38614399999994 37.204041000000075, -77.38629559999998 37.20417360000005, -77.38634099999996 37.20421300000004, -77.38652799999994 37.204386000000056, -77.38695999999999 37.20481300000006, -77.38764199999997 37.205498000000034, -77.38807499999996 37.20592000000005, -77.38834999999995 37.20619100000005, -77.38847899999996 37.20631100000003, -77.38861299999996 37.20641800000004, -77.38872499999997 37.20649300000008, -77.38889299999994 37.20659600000005, -77.38912099999999 37.206698000000074, -77.38933399999996 37.20677500000005, -77.38958099999996 37.20684200000005, -77.38982399999998 37.206898000000024, -77.39062199999995 37.20707500000003, -77.39118099999996 37.20720300000005, -77.39129099999997 37.20723400000003, -77.39137899999997 37.20725900000008, -77.39149099999997 37.207303000000024, -77.39158499999996 37.20733700000005, -77.39167699999996 37.20738300000005, -77.39179299999995 37.20744600000006, -77.39188299999995 37.207505000000026, -77.39198499999998 37.20758300000006, -77.39228299999996 37.20781800000003, -77.39300499999996 37.20841400000006, -77.39334199999996 37.208683000000065, -77.39373299999994 37.20899500000007, -77.39402399999994 37.20923000000005, -77.39443199999994 37.20956000000007, -77.39525599999996 37.210240000000056, -77.39602099999996 37.21084200000007, -77.39698519999996 37.211591000000055, -77.39709419999997 37.21168160000008, -77.39715979999994 37.211747400000036, -77.39721599999996 37.211812200000054, -77.39730399999996 37.21198000000004, -77.39736299999998 37.212094000000036, -77.39749399999994 37.21237600000006, -77.39769399999994 37.21287300000006, -77.39778099999995 37.21309300000007, -77.39786699999996 37.21331800000007, -77.39791999999994 37.21345500000007, -77.39799999999997 37.21367100000003, -77.39810999999997 37.21397600000006, -77.39821779999994 37.21427920000008, -77.39843799999994 37.21489900000006, -77.39856219999996 37.21523580000007, -77.39858299999997 37.215292000000034, -77.39864519999998 37.21544600000004, -77.39880199999999 37.21583400000003, -77.39907599999998 37.21652900000004, -77.39950899999997 37.21767100000005, -77.39961599999998 37.21795700000007, -77.39975199999998 37.218312000000026, -77.39989799999995 37.21869600000008, -77.40002199999998 37.21905200000003, -77.40012199999995 37.219328000000075, -77.40028599999994 37.21975700000007, -77.40039199999995 37.22002200000003, -77.40055299999995 37.22046400000005, -77.40106999999995 37.22190400000005, -77.40154799999993 37.22320000000008, -77.40166899999997 37.223546000000056, -77.40179579999995 37.22387420000007, -77.40194499999996 37.22426000000007, -77.40208899999999 37.224654000000044, -77.40223299999997 37.22503900000004, -77.40239599999995 37.22546700000004, -77.40246059999998 37.22563420000006, -77.40277399999997 37.22644400000007)",2017
110+17266,0.5,12582,1.47,1.47,1.37,,,,,,,"LINESTRING (-77.41127299999994 37.258260000000064, -77.41102499999994 37.25827600000008, -77.41083999999995 37.258290000000045, -77.41061199999996 37.258312000000046, -77.41035199999999 37.25833600000004, -77.40991199999996 37.25838300000004, -77.40787599999999 37.25851700000004, -77.40685599999995 37.25861000000003, -77.40644099999997 37.25865100000004, -77.40614099999993 37.25867500000004, -77.40587399999998 37.258699000000036, -77.40556099999998 37.258732000000066, -77.40532099999996 37.258767000000034, -77.40504699999997 37.258816000000024, -77.40488199999999 37.25885000000005, -77.40469199999995 37.25889500000005, -77.40453199999996 37.25893800000006, -77.40424599999994 37.259011000000044, -77.40405099999998 37.25905400000005, -77.40378499999997 37.25910200000004, -77.40361399999995 37.259131000000025, -77.40329199999996 37.25917500000003, -77.40309799999994 37.259201200000064, -77.40302499999996 37.25921100000005, -77.40274099999993 37.25924500000008, -77.40228459999997 37.25929000000008)",2017
110+17271,0.547,13307,1.16,1.19,1.2,,,,,,,"LINESTRING (-77.39097599999997 37.22933500000005, -77.38967499999995 37.229940000000056, -77.38942299999997 37.23005600000005, -77.38926099999998 37.23012600000004, -77.38910099999998 37.23018700000006, -77.38892699999997 37.230252000000064, -77.38877099999996 37.230305000000044, -77.38831499999998 37.230454000000066, -77.38816299999996 37.230507000000046, -77.38798999999995 37.230579000000034, -77.38784199999998 37.230657000000065, -77.38770799999998 37.23075700000004, -77.38761499999998 37.230841000000055, -77.38754099999994 37.23091800000003, -77.38747399999994 37.23100500000004, -77.38743399999998 37.23106000000007, -77.38737699999996 37.23114900000007, -77.38735099999997 37.23120700000004, -77.38731899999993 37.23128000000003, -77.38729799999999 37.231344000000036, -77.38728099999997 37.231426000000056, -77.38727099999994 37.23150700000008, -77.38726499999996 37.23157800000007, -77.38725799999997 37.23165800000004, -77.38724799999994 37.23177700000008, -77.38724299999996 37.23191600000007, -77.38723499999998 37.232069000000024, -77.38723299999998 37.23217800000003, -77.38723999999996 37.23233700000003, -77.38728999999995 37.23321200000004, -77.38728599999996 37.23334500000004, -77.38726799999995 37.23347700000005, -77.38723899999997 37.23360900000006, -77.38720699999999 37.23371000000003, -77.38713899999993 37.23388500000004, -77.38709899999998 37.233978000000036, -77.38699899999995 37.23416700000007, -77.38682599999999 37.23441100000008, -77.38666199999994 37.23461800000007, -77.38654399999996 37.23475200000007, -77.38644399999998 37.23485400000004, -77.38634799999994 37.234946000000036, -77.38623699999994 37.23503800000003, -77.38619899999998 37.23506800000007, -77.38613899999996 37.23511600000006, -77.38593199999997 37.23526700000008)",2017
110-17274,0.175,11616,1.24,1.21,1.26,,,,,,,"LINESTRING (-77.31632799999994 37.27317300000004, -77.31647199999998 37.27303200000006, -77.31743399999993 37.27212600000007, -77.31769699999995 37.271852000000024, -77.31787399999996 37.27161300000006, -77.31802799999997 37.27140300000008, -77.31821699999995 37.27112500000004, -77.31853599999994 37.27066700000006, -77.31878999999998 37.270346000000075, -77.31897299999997 37.270133000000044, -77.31915499999997 37.26993500000003, -77.31921399999999 37.26987100000008, -77.31932099999995 37.269760000000076, -77.31951499999997 37.26958500000006, -77.31962599999997 37.26948300000004, -77.31992099999997 37.26923400000004)",2017
110-13826,1.348,5498,1.22,1.2,1.21,,,,,,,"LINESTRING (-77.27834799999994 37.297971000000075, -77.27838999999994 37.297878000000026, -77.27851799999996 37.297585000000026, -77.27876399999997 37.29700800000006, -77.27913799999999 37.29613600000005, -77.27920799999998 37.29597300000006, -77.27923399999997 37.29591000000005, -77.27931099999995 37.295742000000075, -77.27942979999995 37.29553000000004, -77.27951999999993 37.29542200000003, -77.27963799999998 37.29526800000008, -77.27976899999999 37.29511700000006, -77.27991099999997 37.294974000000025, -77.28001499999993 37.294876000000045, -77.28018199999997 37.29474400000004, -77.28027699999996 37.29467600000004, -77.28038799999996 37.29460000000006, -77.28049199999998 37.29453500000005, -77.28060299999999 37.294463000000064, -77.28070599999995 37.29440600000004, -77.28082699999999 37.294343000000026, -77.28094699999997 37.29428800000005, -77.28106799999995 37.29423300000008, -77.28118599999993 37.29418300000003, -77.28131699999994 37.29413500000004, -77.28144299999997 37.29409400000003, -77.28156699999994 37.29405600000007, -77.28170299999994 37.29401800000005, -77.28182299999997 37.293990000000065, -77.28195399999998 37.29396200000008, -77.28216999999995 37.29392500000006, -77.28236699999997 37.29390300000006, -77.28264399999995 37.293881000000056, -77.28294099999994 37.29385800000006, -77.28364899999997 37.29381600000005, -77.28396799999996 37.29379700000004, -77.28415899999999 37.29378400000007, -77.28554399999996 37.293691000000024, -77.28629499999994 37.29364100000004, -77.28653799999995 37.29362400000008, -77.28685299999995 37.29360200000008, -77.28717399999994 37.29357700000003, -77.28742999999997 37.293562000000065, -77.28776999999997 37.29354100000006, -77.28796599999998 37.29353000000003, -77.28809599999994 37.293517000000065, -77.28822299999996 37.293502000000046, -77.28833299999997 37.293484000000035, -77.28844499999997 37.293461000000036, -77.28856999999994 37.293435000000045, -77.28877939999995 37.293373200000076, -77.28887899999995 37.29333600000007, -77.28908739999997 37.29324440000005, -77.28927599999997 37.29316600000004, -77.28948359999998 37.29307760000006, -77.28965099999994 37.292999000000066, -77.28977979999996 37.292909000000066, -77.28987199999995 37.29284700000005, -77.28997019999997 37.29277920000004, -77.29028419999997 37.29255960000006, -77.29130199999997 37.29184500000008, -77.29220599999996 37.29120500000005, -77.29310999999996 37.290557000000035, -77.29343099999994 37.29032700000005, -77.29377099999994 37.290088000000026, -77.29403359999998 37.289899200000036, -77.29412699999995 37.28983200000005, -77.29442299999994 37.28962500000006, -77.29489399999994 37.289274000000034, -77.29495799999995 37.28922200000005, -77.29516699999994 37.289055000000076, -77.29534299999995 37.28890400000006, -77.29561999999999 37.28865200000007, -77.29610899999994 37.288200000000074, -77.29632499999997 37.28800600000005, -77.29663799999997 37.28771500000005, -77.29693399999996 37.28743500000007)",2017
110+17272,0.728,13109,1.24,1.31,1.31,,,,,,,"LINESTRING (-77.38585999999998 37.235311000000024, -77.38577699999996 37.23536400000006, -77.38569499999994 37.23541400000005, -77.38556199999994 37.23548500000004, -77.38538799999998 37.23557600000004, -77.38516899999996 37.235681000000056, -77.38486799999998 37.23581100000007, -77.38467999999995 37.235892000000035, -77.38449699999995 37.23596300000003, -77.38423499999999 37.23605300000003, -77.38416459999996 37.236074200000076, -77.38398899999999 37.23612700000007, -77.38370099999997 37.23620100000005, -77.38314599999995 37.23634100000004, -77.38150799999994 37.23675500000007, -77.37953099999999 37.23724800000008, -77.37864299999995 37.23746500000004, -77.37773899999996 37.23771700000003, -77.37692199999998 37.23794000000004, -77.37613699999997 37.238173000000074, -77.37536099999994 37.238391000000036, -77.37495799999994 37.238473000000056, -77.37446199999994 37.23861000000005, -77.37413399999997 37.238691000000074, -77.37385699999999 37.23874900000004, -77.37366899999995 37.23878000000008, -77.37342599999994 37.23880500000007)",2017
110N17268,0.043,13250,1.7,1.72,1.81,,,,,,,"LINESTRING (-77.36561719999997 37.25185440000007, -77.36580399999997 37.251787000000036, -77.36593099999999 37.25174400000003, -77.36604599999998 37.25170600000007, -77.36619499999995 37.25166200000007, -77.36633999999998 37.251626000000044)",2017
110P17266,0.059,15180,2.0,1.9,1.83,,,,,,,"LINESTRING (-77.40228459999997 37.25929000000008, -77.40213079999995 37.25930660000006, -77.40185759999997 37.25934600000005, -77.40164899999996 37.25937700000003, -77.40156559999997 37.259385000000066, -77.40149919999999 37.259389800000065, -77.40122679999996 37.25941840000007)",2017
110N16164,0.018,12413,2.0,1.75,2.0,,,,,,,"LINESTRING (-77.38033399999995 37.20254600000004, -77.38027499999998 37.20252000000005, -77.38004219999993 37.20241680000004)",2017
110+13825,0.004,6918,1.57,1.49,1.53,,,,,,,"LINESTRING (-77.29518399999995 37.280342000000076, -77.29591899999997 37.28110700000008, -77.29665399999999 37.28188400000005, -77.29687199999995 37.28210400000006, -77.29737299999994 37.28264900000005, -77.29809599999999 37.283401000000026, -77.29855499999996 37.28385000000003, -77.29909799999996 37.28433700000005, -77.29937799999993 37.28458600000005)",2017
110N17274,0.391,18158,1.2,1.19,1.2,,,,,,,"LINESTRING (-77.31992099999997 37.26923400000004, -77.31998299999998 37.26918000000006, -77.32002899999998 37.26914100000005, -77.32031199999994 37.26890400000008, -77.32041899999996 37.26881300000008, -77.32065799999998 37.26860400000004, -77.32078699999994 37.26848200000006, -77.32090399999998 37.268354000000045, -77.32112499999994 37.26813100000004, -77.32130819999998 37.26795720000007, -77.32150039999993 37.26776240000004, -77.32157919999997 37.267682800000046, -77.32165719999995 37.267576200000065, -77.32171859999994 37.267477400000075, -77.32182879999993 37.26732840000005, -77.32204179999997 37.26702220000004, -77.32210559999999 37.266935000000046, -77.32211939999996 37.26691600000004, -77.32217559999998 37.26684220000004, -77.32226819999994 37.26670560000008, -77.32235419999995 37.26658200000003, -77.32240339999998 37.26650520000004, -77.32245299999994 37.26642900000007, -77.32251079999998 37.26634040000005, -77.32254779999994 37.26628560000006, -77.32270579999994 37.26605600000005, -77.32282759999998 37.265808400000026, -77.32288639999996 37.26567660000006, -77.32295599999998 37.265505000000076, -77.32308499999994 37.26522300000005, -77.32319699999994 37.264942000000076, -77.32341099999996 37.264391000000046)",2017
110+16166,0.002,18404,1.71,1.67,1.83,,,,,,,"LINESTRING (-77.40277399999997 37.22644400000007, -77.40282199999996 37.22655100000003, -77.40303399999993 37.227126000000055, -77.40323199999995 37.227701000000025, -77.40326999999996 37.22781700000007)",2017
110P17271,0.005,13307,1.15,1.2,1.2,,,,,,,"LINESTRING (-77.38593199999997 37.23526700000008, -77.38585999999998 37.235311000000024)",2017
110+17267,0.318,16916,1.5,1.5,1.58,,,,,,,"LINESTRING (-77.40122679999996 37.25941840000007, -77.40074699999997 37.25946700000003, -77.40054899999996 37.259469000000024, -77.40046399999994 37.259465000000034, -77.40033699999998 37.25945900000005, -77.40025899999995 37.25945100000007, -77.40005199999996 37.25942300000003, -77.39989299999996 37.25938800000006, -77.39976699999994 37.25935400000003, -77.39963299999994 37.25931000000003, -77.39951399999995 37.25926800000008, -77.39939599999997 37.25921800000003, -77.39933659999997 37.259194200000024, -77.39929699999993 37.25917700000008, -77.39919199999997 37.25913200000008, -77.39913999999999 37.259108000000026, -77.39908199999996 37.25907900000004, -77.39904819999998 37.25906020000008, -77.39901419999995 37.25903940000006, -77.39890399999996 37.25897700000007, -77.39882199999994 37.25893000000008, -77.39869299999998 37.258845000000065, -77.39850099999995 37.25872000000004, -77.39832499999994 37.25857600000006, -77.39809799999995 37.25838200000004, -77.39786199999998 37.25819900000005, -77.39778299999995 37.25815200000005, -77.39771499999995 37.258118000000024, -77.39764399999996 37.258079000000066, -77.39757799999995 37.25804400000004, -77.39751199999995 37.25801400000006, -77.39743299999998 37.25798100000003, -77.39736199999999 37.25795700000003, -77.39715799999993 37.25788300000005, -77.39685099999997 37.257791000000054, -77.39630299999999 37.25764600000008, -77.39614399999994 37.25760400000007)",2017
110+13821,0.033,7212,1.13,1.11,1.14,,,,,,,"LINESTRING (-77.27533899999997 37.15598700000004, -77.27530399999995 37.15603100000004, -77.27528899999999 37.15606500000007, -77.27528599999994 37.156089000000065, -77.27528299999994 37.15612100000004, -77.27527999999995 37.156175000000076, -77.27527599999996 37.156263000000024, -77.27527399999997 37.15635700000007, -77.27527499999997 37.15643800000004, -77.27528299999994 37.15652600000004, -77.27529199999998 37.15663500000005, -77.27531299999998 37.15680100000003, -77.27535399999994 37.157051000000024, -77.27541939999998 37.157435400000054, -77.27553199999994 37.15809600000006, -77.27558999999997 37.158514000000025, -77.27564299999995 37.15892500000007, -77.27567099999999 37.159189000000026, -77.27568999999994 37.15937500000007, -77.27570799999995 37.159595000000024, -77.27571899999998 37.159771000000035, -77.27572699999996 37.159935000000075, -77.27572799999996 37.16015100000004, -77.27572299999997 37.16039000000006, -77.27571699999999 37.160656000000074, -77.27570899999995 37.16084100000006, -77.27569299999999 37.16102200000006, -77.27567199999999 37.161241000000075, -77.27566419999994 37.16130060000006, -77.27563699999996 37.16150700000003, -77.27560599999998 37.16173500000008, -77.27556899999996 37.16197600000004, -77.27552099999997 37.162161000000026, -77.27545199999997 37.16239100000007, -77.27537399999994 37.16265000000004, -77.27529899999996 37.16288700000007, -77.27519699999993 37.163200000000074, -77.27509099999997 37.163527000000045, -77.27460199999996 37.16502600000007, -77.27420999999998 37.16616000000005, -77.27353599999998 37.16829500000006, -77.27328599999998 37.16910100000007, -77.27298299999995 37.17001200000004, -77.27266699999996 37.17096900000007, -77.27256299999993 37.17128100000008, -77.27241599999996 37.17171300000007, -77.27228899999994 37.172068000000024, -77.27222339999997 37.172275600000035, -77.27217499999995 37.17242900000008, -77.27206079999996 37.17277440000004, -77.27205599999996 37.17278900000008, -77.27193499999998 37.17314900000008, -77.27182299999998 37.17351400000007, -77.27174699999995 37.17381000000006, -77.27171199999998 37.17403000000007, -77.27170099999995 37.174221000000045, -77.27170499999994 37.17440800000003, -77.27172499999995 37.174596000000065, -77.27175799999998 37.174788000000035, -77.27180499999997 37.17498100000006, -77.27187199999997 37.17518600000005, -77.27196999999995 37.17542300000008, -77.27211899999998 37.17573500000003, -77.27223699999996 37.175977000000046, -77.27249199999994 37.17658800000004, -77.27261999999996 37.176933000000076, -77.27272799999997 37.177253000000064, -77.27278299999995 37.177451000000076, -77.27281199999999 37.17761800000005, -77.27282499999995 37.177786000000026, -77.27282599999995 37.17795700000005, -77.27281299999999 37.17812900000007, -77.27278499999994 37.178304000000026, -77.27274499999999 37.17848100000003, -77.27268799999996 37.178656000000046, -77.27261599999997 37.17883100000006, -77.27260299999995 37.17885800000005, -77.27231899999998 37.17945700000007, -77.27217499999995 37.179737000000046, -77.27198099999998 37.18011160000003, -77.27176599999996 37.18052700000004, -77.27155899999997 37.180927000000054, -77.27095199999997 37.18211900000006, -77.27005199999996 37.183910000000026, -77.26989799999996 37.18420800000007, -77.26973599999997 37.18450100000007, -77.26945399999994 37.184998000000064, -77.26920799999994 37.185377000000074, -77.26904599999995 37.18563000000006, -77.26888599999995 37.18585600000006, -77.26873799999998 37.18604700000003, -77.26860899999997 37.18621100000007, -77.26838499999997 37.18647600000003, -77.26823199999995 37.186645000000055, -77.26806599999998 37.18682200000006, -77.26790799999998 37.18698500000005, -77.26776099999995 37.18714300000005, -77.26749899999999 37.187423000000024, -77.26733699999994 37.18760000000003, -77.26722099999995 37.18773100000004, -77.26691899999997 37.18810300000007, -77.26670099999996 37.188375000000065, -77.26636399999995 37.18879500000003, -77.26600599999995 37.18925100000007, -77.26586099999997 37.18943600000006, -77.26567899999998 37.189696000000026, -77.26552399999997 37.18994900000007, -77.26542299999994 37.19012800000007, -77.26512599999995 37.19068900000008, -77.26501699999994 37.190897000000064, -77.26490699999994 37.19112000000007, -77.26476899999994 37.19138400000003, -77.26467399999996 37.191576000000055, -77.26459499999999 37.19170900000006, -77.26454399999994 37.19179600000007, -77.26445899999999 37.191928000000075, -77.26434999999998 37.19206900000006, -77.26422199999996 37.19222400000007, -77.26408599999996 37.19236600000005, -77.26392699999997 37.192514000000074, -77.26377399999996 37.19265500000006, -77.26341599999995 37.19295500000004, -77.26308499999999 37.193215000000066, -77.26273399999997 37.19349200000005, -77.26226999999994 37.19386900000006, -77.26213779999995 37.19398400000006, -77.26197099999996 37.19412900000003, -77.26167899999996 37.19439100000005, -77.26139159999997 37.194641800000056, -77.26130099999995 37.19472100000007, -77.26115299999998 37.19484300000005, -77.26100099999996 37.19496900000007, -77.26082999999994 37.19510500000007, -77.26065299999993 37.195246000000054, -77.26049899999998 37.195362000000046, -77.26015399999994 37.19563400000004, -77.25965699999995 37.19604900000007, -77.25935199999998 37.19630700000005, -77.25923299999994 37.19640700000008, -77.25912699999998 37.196499000000074, -77.25901499999998 37.196600000000046, -77.25891099999996 37.196701000000076, -77.25881099999998 37.196807000000035, -77.25868799999995 37.19695000000007, -77.25858699999998 37.19707800000003, -77.25848999999994 37.197208000000046, -77.25840799999997 37.197335000000066, -77.25833919999997 37.197460800000044, -77.25832599999995 37.19748500000003, -77.25826399999994 37.19761700000004, -77.25821299999996 37.197737000000075, -77.25816899999995 37.197850000000074, -77.25813399999998 37.19795300000004, -77.25809999999996 37.19809600000008, -77.25808199999994 37.19820800000008, -77.25807299999997 37.19830300000007, -77.25806199999994 37.198424000000045, -77.25805499999996 37.19855200000006, -77.25805599999995 37.19872600000008, -77.25805499999996 37.19884300000007, -77.25805199999996 37.19896700000004, -77.25805499999996 37.19909300000006, -77.25806999999998 37.199249000000066, -77.25808199999994 37.19933600000007, -77.25810499999994 37.19943000000006, -77.25813399999998 37.19951000000003, -77.25817399999994 37.199599000000035, -77.25822299999999 37.19969700000007, -77.25826339999998 37.199764800000025, -77.25844499999994 37.20006900000004)",2017
110+13826,0.233,6918,1.24,1.29,1.29,,,,,,,"LINESTRING (-77.29937799999993 37.28458600000005, -77.29933579999994 37.28462140000005, -77.29927999999995 37.28467900000004, -77.29920299999998 37.28475400000008, -77.29907399999996 37.284894000000065, -77.29855379999998 37.28557600000005, -77.29851799999994 37.285623000000044, -77.29819999999995 37.28603100000004, -77.29816219999998 37.286076200000025, -77.29802399999994 37.28624200000007, -77.29789599999998 37.28637900000007, -77.29783299999997 37.28643800000003, -77.29689799999994 37.287315000000035)",2017
110P17272,0.017,13169,1.38,1.51,1.53,,,,,,,"LINESTRING (-77.37342599999994 37.23880500000007, -77.37336799999997 37.238810200000046, -77.37311499999998 37.23883300000006)",2017
110-17273,0.559,21912,1.26,1.25,1.35,,,,,,,"LINESTRING (-77.32341099999996 37.264391000000046, -77.32345199999997 37.26428400000003, -77.32368299999996 37.26361600000007, -77.32374999999996 37.26335100000006, -77.32378799999998 37.26325200000008, -77.32390359999994 37.262981600000046, -77.32393399999995 37.26291900000007, -77.32420399999995 37.26242700000006, -77.32425399999994 37.26235800000006, -77.32440999999994 37.26214500000003, -77.32454499999994 37.26197900000005, -77.32475099999994 37.26175800000004, -77.32509499999998 37.261401000000035, -77.32541899999995 37.261123000000055, -77.32544499999995 37.26110500000004, -77.32588999999996 37.26079400000003, -77.32628299999999 37.26056100000005, -77.32696499999997 37.26020300000005, -77.32769799999994 37.25981800000005, -77.32824699999998 37.25951500000008, -77.32901399999997 37.25909200000007, -77.32961399999994 37.25874700000003, -77.32990799999999 37.258560000000045)",2017
110-13825,0.238,6918,1.2,1.23,1.24,,,,,,,"LINESTRING (-77.29693399999996 37.28743500000007, -77.29753799999997 37.28688500000004, -77.29795599999994 37.28649200000007, -77.29809999999998 37.28635600000007, -77.29859899999997 37.285713000000044, -77.29882699999996 37.285408000000075, -77.29900099999998 37.28518800000006, -77.29913599999998 37.28500100000008, -77.29917699999999 37.28494600000005, -77.29923299999996 37.284883000000036, -77.29933699999998 37.284775000000025, -77.29935459999996 37.28475660000004, -77.29941039999994 37.28470820000007, -77.29947099999998 37.284658000000036)",2017
110-17267,1.703,15448,1.24,1.26,1.5,,,,,,,"LINESTRING (-77.36633999999998 37.251626000000044, -77.36673599999995 37.25153400000005, -77.36711899999995 37.25145700000007, -77.36746799999997 37.251401000000044, -77.36765999999994 37.251377200000036, -77.36780699999997 37.251359000000036, -77.36805299999997 37.25134000000003, -77.36832999999996 37.25132300000007, -77.36865199999994 37.251315000000034, -77.36893599999996 37.25131600000003, -77.36897299999998 37.25131600000003, -77.36929399999997 37.25132800000006, -77.36961299999996 37.25134900000006, -77.36992899999996 37.25138000000004, -77.37024299999996 37.25142200000005, -77.37055299999997 37.251476000000025, -77.37085999999994 37.25154200000003, -77.37107099999997 37.25159300000007, -77.37143999999995 37.251685000000066, -77.37157899999994 37.25172100000003, -77.37171299999994 37.25175500000006, -77.37234899999999 37.25191200000006, -77.37298499999997 37.25206700000007, -77.37362199999995 37.25221700000003, -77.37422799999996 37.25234900000004, -77.37498099999993 37.252489000000025, -77.37556199999995 37.252575000000036, -77.37583399999994 37.252609000000064, -77.37610499999994 37.25263600000005, -77.37638499999997 37.25266800000003, -77.37667799999997 37.252714000000026, -77.37715599999996 37.25279900000004, -77.37733999999995 37.252819000000045, -77.37765699999994 37.25285900000006, -77.37901899999997 37.252980000000036, -77.37942699999996 37.25300400000003, -77.37965299999996 37.25303400000007, -77.37984699999998 37.25304900000003, -77.38013999999998 37.25306100000006, -77.38040079999996 37.25307460000005, -77.38064899999995 37.25309400000003, -77.38094399999994 37.25312800000006, -77.38126499999998 37.25317600000005, -77.38140239999996 37.253198600000076, -77.38160999999997 37.25323300000008, -77.38210999999995 37.253345000000024, -77.38258599999995 37.25347100000005, -77.38284599999997 37.253550000000075, -77.38318299999997 37.25365500000004, -77.38386499999996 37.25388000000004, -77.38430299999999 37.25402900000006, -77.38444199999998 37.25407700000005, -77.38454299999995 37.254112200000066, -77.38476899999995 37.25419100000005, -77.38549879999994 37.254439400000024, -77.38631499999997 37.25471700000003, -77.38936899999999 37.25574000000006, -77.39002599999998 37.25595700000008, -77.39089199999995 37.256233000000066, -77.39237899999995 37.25671300000005, -77.39317599999998 37.256950000000074, -77.39388599999995 37.25715900000006, -77.39501399999995 37.257468000000074, -77.39535199999995 37.25756800000005, -77.39591799999994 37.257719000000066)",2017
110+13827,1.348,5500,1.19,1.21,1.24,,,,,,,"LINESTRING (-77.29689799999994 37.287315000000035, -77.29602399999999 37.288125000000036, -77.29563099999996 37.288486000000034, -77.29547999999994 37.28862400000003, -77.29542399999997 37.28866800000003, -77.29517799999996 37.28888400000005, -77.29487299999994 37.28914400000008, -77.29433499999999 37.289551000000074, -77.29404799999998 37.289751000000024, -77.29381179999996 37.28992040000003, -77.29366699999997 37.290024000000074, -77.29301699999996 37.290489000000036, -77.29211399999997 37.29112800000007, -77.29121599999996 37.29176700000005, -77.29058999999995 37.29221200000006, -77.29018779999996 37.292494600000055, -77.28981399999998 37.29275700000005, -77.28954599999997 37.29292900000007, -77.28941299999997 37.29300800000004, -77.28929299999999 37.29306800000006, -77.28920899999997 37.29310900000007, -77.28913359999996 37.293141400000025, -77.28908099999995 37.29316400000005, -77.28891699999997 37.29322600000006, -77.28880499999997 37.29326700000007, -77.28872399999995 37.29329100000007, -77.28869899999995 37.29329800000005, -77.28852199999994 37.29334200000005, -77.28835899999996 37.293378000000075, -77.28822999999994 37.29340000000008, -77.28812699999997 37.293413000000044, -77.28801199999998 37.29342600000007, -77.28788499999996 37.29343600000004, -77.28773399999994 37.293439000000035, -77.28740299999998 37.29346400000003, -77.28716699999995 37.29347900000005, -77.28681599999999 37.29350400000004, -77.28653099999997 37.29352300000005, -77.28628399999997 37.293540000000064, -77.28553599999998 37.29358700000006, -77.28445299999998 37.29365700000005, -77.28415299999995 37.29367400000007, -77.28385499999996 37.29369900000006, -77.28371699999997 37.29371000000003, -77.28285399999999 37.293765000000064, -77.28257499999995 37.29378500000007, -77.28243599999996 37.293795000000046, -77.28230299999996 37.293810000000065, -77.28216299999997 37.29382700000008, -77.28189699999996 37.293871000000024, -77.28179299999994 37.29389100000003, -77.28168199999999 37.29391700000008, -77.28157499999998 37.29394400000007, -77.28149599999995 37.293967000000066, -77.28137999999996 37.29400500000003, -77.28125099999994 37.294051000000024, -77.28112099999998 37.294099000000074, -77.28088599999995 37.29419900000005, -77.28075399999994 37.294264000000055, -77.28063699999996 37.294324000000074, -77.28052799999995 37.29438600000003, -77.28041099999996 37.29445700000008, -77.28017899999998 37.294614000000024, -77.28004099999998 37.29472500000003, -77.27992659999995 37.29481540000006, -77.27980959999996 37.29492460000006, -77.27969779999995 37.29502620000005, -77.27948239999995 37.29526880000003, -77.27939939999999 37.295371200000034, -77.27933179999997 37.29545480000007, -77.27927539999996 37.295551000000046, -77.27902099999994 37.29610800000006, -77.27878699999997 37.29663300000004, -77.27840499999996 37.29754600000007, -77.27827799999994 37.29782300000005)",2017
110-13824,0.004,6918,1.45,1.47,1.56,,,,,,,"LINESTRING (-77.29937799999993 37.28458600000005, -77.29909799999996 37.28433700000005, -77.29855499999996 37.28385000000003, -77.29809599999999 37.283401000000026, -77.29737299999994 37.28264900000005, -77.29687199999995 37.28210400000006, -77.29665399999999 37.28188400000005, -77.29591899999997 37.28110700000008, -77.29518399999995 37.280342000000076)",2017
