"","year","AM","Midday","PM","Weekend","Overnight"
"1",2017,1.09362637362637,1.09714285714286,1.12791208791209,1.11747252747253,1.13098901098901
"2",2018,1.13459770114943,1.09494252873563,1.12850574712644,1.12850574712644,1.15747126436782
"3",2019,1.09362637362637,1.09714285714286,1.12791208791209,1.11747252747253,1.13098901098901
"4",2020,1.09362637362637,1.09714285714286,1.12791208791209,1.11747252747253,1.13098901098901
"5",2021,1.08711340206186,1.08659793814433,1.11690721649485,1.12360824742268,1.13371134020619
"6",2022,1.0984375,1.109375,1.12916666666667,1.12177083333333,1.14447916666667
"7",2023,1.08989247311828,1.09688172043011,1.11935483870968,1.22516129032258,1.14236559139785
"8",2024,1.09135416666667,1.0959375,1.13447916666667,1.13229166666667,1.148125
